x	y
2	0.00029925
2.03	0.0002937
2.06	0.00030432
2.09	0.00030102
2.12	0.00030012
2.15	0.00030117
2.18	0.00029826
2.21	0.00030117
2.24	0.00029991
2.27	0.00029571
2.3	0.00030336
2.33	0.00030603
2.36	0.00029922
2.39	0.000297
2.42	0.00029265
2.45	0.00030093
2.48	0.00029733
2.51	0.00029892
2.54	0.00029535
2.57	0.00030339
2.6	0.00030222
2.63	0.00029613
2.66	0.00029967
2.69	0.00030072
2.72	0.00029676
2.75	0.00030102
2.78	0.00029802
2.81	0.00030258
2.84	0.00030012
2.87	0.00029517
2.9	0.00029805
2.93	0.00029952
2.96	0.00030117
2.99	0.00029703
3.02	0.00030159
3.05	0.00029529
3.08	0.00030552
3.11	0.00029703
3.14	0.00029613
3.17	0.00029853
3.2	0.00030288
3.23	0.00030489
3.26	0.00029556
3.29	0.00030228
3.32	0.00029988
3.35	0.00029676
3.38	0.00030057
3.41	0.00029826
3.44	0.00029853
3.47	0.00030042
3.5	0.00030162
3.53	0.00029529
3.56	0.00030222
3.59	0.00029844
3.62	0.0003015
3.65	0.00030183
3.68	0.00029982
3.71	0.00029775
3.74	0.00029922
3.77	0.00030285
3.8	0.00030027
3.83	0.00030231
3.86	0.00029697
3.89	0.00030123
3.92	0.00030165
3.95	0.00030069
3.98	0.00029826
4.01	0.00029958
4.04	0.00029757
4.07	0.00030924
4.1	0.00030639
4.13	0.00030033
4.16	0.00029808
4.19	0.00029997
4.22	0.00029817
4.25	0.00029742
4.28	0.00029865
4.31	0.00030084
4.34	0.00030357
4.37	0.00029676
4.4	0.00029634
4.43	0.00030447
4.46	0.00030006
4.49	0.00030153
4.52	0.00029985
4.55	0.00029925
4.58	0.00030297
4.61	0.00030336
4.64	0.00030153
4.67	0.00030351
4.7	0.00029988
4.73	0.00029901
4.76	0.00030051
4.79	0.00029838
4.82	0.00030066
4.85	0.00030003
4.88	0.00030117
4.91	0.00030375
4.94	0.00030084
4.97	0.00030324
